的	[白勹丶Ⓨ,rqyy,de_dí_dì]
䛾	[言龶幺小,ygxi,sù,GBK]
䛿	[言一口丨,ygkh,gé,GBK]
䜀	[言刀丶止,yvyh,nǎo,GBK]
䜁	[言土土大,yffd,xì,GBK]
䜂	[言白大十,yrdf,0,GBK]
䜃	[言亻圭土,ywyf,duī,GBK]
䜄	[言尸丨,ynih,chí,GBK]
䜅	[言山亻圭,ymwy,wéi_chuī,GBK]
䜆	[广木木言,yssy,mò_nèi_shé_suì_zhé_niè,GBK]
䜇	[言六厶𧘇,yuce,gǔn_gùn,GBK]
䜈	[言巛曰木,yvjs,jiǎo_chāo_zhāo,GBK]
䜉	[言木人氺,yswi,chī,GBK]
䜊	[言一冂曰,ygmj,zāo_zào,GBK]
䜋	[言口丨貝,ykhm,huì,GBK]
䜌	[糹言糹Ⓨ,xyxy,luán,GBK]
䜍	[言大丷小,ydui,liáo,GBK]
䜎	[言火火力,yool,láo_lào,GBK]
䜏	[言阝𠂇冃,ybde,tuō,GBK]
䜐	[阝𠂇工言,bday,huī,GBK]
䜑	[言一心,ygfn,qià_wù,GBK]
䜒	[言㇒冂大,ytmd,ào,GBK]
䜓	[言艹廿木,yaas,niè_shè,GBK]
䜔	[言𠂇工辶,ydap,suí,GBK]
䜕	[言艹曰丶,yajy,mài_hài,GBK]
䜖	[言覀貝Ⓨ,ysmy,tàn,GBK]
䜗	[言厂一心,ydgn,xìn_hàn,GBK]
䜘	[言艹勹攵,yaqt,jǐng,GBK]
䜙	[言曰幺灬,yjxo,án,GBK]
䜚	[言罒辶,ylip,tà,GBK]
䜛	[言⺈口儿,yqkq,chán_chàn,GBK]
䜜	[言⺊冖目,yhph,wèi,GBK]
䜝	[言幺幺㇗,yxxn,tuǎn,GBK]
䜞	[言Ⓖ,yyjg,jì,GBK]
䜟	[言十戈㇒,yfag,chén_chèn,GBK]
䜠	[言斤斤貝,yrrm,chè_zhì,GBK]
䜡	[言丆冃夂,ydet,xù_xuè_yù,GBK]
䜢	[言宀三心,ypdn,xiǎn,GBK]
䜤	[讠龷八Ⓨ,yawy,0,GBK]
䜥	[讠日一廴,yjgp,0,GBK]
䜦	[讠艹勹日,yaqj,0,GBK]
䜧	[讠刀丶止,yvyh,nǎo,GBK]
䜨	[讠口口心,ykkn,0,GBK]
䜪	[八人口九,wwkv,qiú,GBK]
䜫	[八人口工,wwka,hóng_jiāng,GBK]
䜬	[八人口由,wwkm,sǒng_xiù,GBK]
䜭	[⺊冖一口,hpgk,jùn_ruì,GBK]
䜮	[八人口丨,wwkh,liáo_láo,GBK]
䜯	[八人口米,wwko,jú,GBK]
䜰	[八人口十,wwkf,hāo,GBK]
䜱	[八人口又,wwkc,mǎn,GBK]
䜲	[八人口㇂,wwkn,liè,GBK]
䜳	[一口丷㇗,gkun,0,GBK]
䜴	[一口丷又,gkuc,chù_shì,GBK]
䜵	[一口丷又,gkuc,chǐ_shì,GBK]
䜶	[一口丷丨,gkuh,xiáng,GBK]
䜷	[一口丷又,gkuc,qīn,GBK]
䜸	[一口丷乚,gkun,měi_méi,GBK]
䜹	[一口丷小,gkui,shù,GBK]
䜺	[一口丷日,gkuj,cè_chǎi,GBK]
䜻	[一口丷龰,gkuh,chǐ_shì,GBK]
䜼	[マ了丿丷,cbtu,gú_móu,GBK]
䜽	[一口丷刂,gkuj,yú,GBK]
䜾	[一口丷日,gkuj,yīn,GBK]
䜿	[匚丨コ丷,ahnu,shù,GBK]
䝀	[一口丷田,gkul,liáo_liú,GBK]
䝁	[火火冖丷,oopu,láo,GBK]
䝂	[匚丨コ丷,ahnu,shù,GBK]
䝃	[一口丷灬,gkuo,zhé,GBK]
䝄	[一口丷又,gkuc,shuāng,GBK]
䝅	[豕土Ⓖ,efg,huī,GBK]
䝆	[勹〃豕Ⓤ,qreu,0,GBK]
䝇	[八儿豕Ⓘ,wqei,0,GBK]
䝈	[豕斤一㔾,ergb,è,GBK]
䝉	[卝冖豕Ⓤ,opeu,0,GBK]
䝊	[豕一彐龰,egvh,shà,GBK]
䝋	[豕宀二小,epfi,zòng,GBK]
䝌	[豕又又又,eccc,jué_jùn,GBK]
䝍	[豕冖車Ⓗ,eplh,jùn_jūn,GBK]
䝎	[豕山丆Ⓙ,emdj,tuān,GBK]
䝏	[豕婁女Ⓖ,elvg,lóu_lǒu,GBK]
䝐	[豕阝𠂇冃,ebde,wéi_duò,GBK]
䝑	[豕立曰土,eujf,chōng,GBK]
䝒	[豕耳又水,ebci,zhù,GBK]
䝓	[豕巛囗㇂,evln,là_liè,GBK]
䝔	[豕艹口圭,eaky,0,GBK]
䝕	[豕耳耳耳,ebbb,zhé,GBK]
䝖	[爫犭斤㇏,eery,zhǎo,GBK]
䝗	[爫犭木Ⓨ,eesy,0,GBK]
䝘	[爫犭几又,eemc,yì,GBK]
䝙	[爫犭匚ㄨ,eeaq,chū,GBK]
䝚	[爫犭尸匕,eenx,ní,GBK]
䝛	[爫犭皮又,eehc,bō,GBK]
䝜	[爫犭厶夂,eect,suān,GBK]
䝝	[爫犭大口,eedk,yǐ,GBK]
䝞	[爫犭虍几,eehm,hào,GBK]
䝟	[爫犭三大,eedd,yà_yè,GBK]
䝠	[爫犭厂小,eedi,huán_yuán,GBK]
䝡	[爫犭廿㇏,eeay,màn,GBK]
䝢	[爫犭曰又,eejc,màn_méng,GBK]
䝣	[爫犭氵木,eeis,qú,GBK]
䝤	[爫犭大小,eedi,lǎo_liáo,GBK]
䝥	[爫犭㇒十,eetf,háo,GBK]
䝦	[爫犭㇒水,eeti,zhōng,GBK]
䝧	[貝勹冫Ⓖ,mqug,mén_mín,GBK]
䝨	[〢又貝Ⓤ,jcmu,xián,GBK]
䝩	[貝人彡Ⓣ,mwet,zhèn,GBK]
䝪	[貝乛龰Ⓨ,mnhy,shú_shǔ,GBK]
䝫	[貝𠂉丨二,mthf,zuó,GBK]
䝬	[貝丶王Ⓖ,mygg,zhù,GBK]
䝭	[貝勹口Ⓖ,mqkg,gòu,GBK]
䝮	[貝亠幺Ⓨ,myxy,xuàn,GBK]
䝯	[貝𠂉也Ⓝ,mtbn,yì,GBK]
䝰	[貝土寸Ⓨ,mffy,tí_zhì,GBK]
䝱	[力力力貝,lllm,xié,GBK]
䝲	[貝尸㇏Ⓤ,mnyu,jìn,GBK]
䝳	[⺊夕又貝,hqcm,cán_hài,GBK]
䝴	[一口丨貝,gkhm,0,GBK]
䝵	[貝一冃丶,mgey,bù,GBK]
䝶	[貝亠小Ⓨ,myiy,liáng,GBK]
䝷	[𠂉大口貝,tdkm,zhì_zhī,GBK]
䝸	[貝艹十又,mafc,jì,GBK]
䝹	[貝宀夕㔾,mpqb,wǎn_yuàn,GBK]
䝺	[文文貝Ⓤ,yymu,guàn,GBK]
䝻	[貝尸古Ⓖ,mndg,jū,GBK]
䝽	[貝厂土土,mdff,ài,GBK]
䝾	[一戈止貝,gahm,fù,GBK]
䝿	[臼人貝Ⓤ,vwmu,guì,GBK]
䞀	[貝亻ユ大,mwnd,gòu_hòu_mǐn,GBK]
䞁	[貝匚曰女,majv,xiàn_yàn_yǎng_yàng,GBK]
䞂	[貝丆冂大,mdmd,ruǎn,GBK]
䞃	[貝一厶攵,mgct,zhì,GBK]
䞄	[方𠂉也貝,ytbm,biào,GBK]
䞅	[貝厂二口,mdfk,yí,GBK]
䞆	[貝⺌貝Ⓨ,mimy,suǒ,GBK]
䞇	[土八土貝,fwfm,dié_zhì,GBK]
䞈	[貝爫丿灬,meto,guǐ_guì,GBK]
䞉	[貝丷大貝,mudm,shèng,GBK]
䞊	[貝虍七目,mhah,xùn,GBK]
䞋	[貝立木儿,musq,chèn,GBK]
䞌	[贝㇒古Ⓖ,mtdg,shé,GBK]
䞎	[贝日曰Ⓖ,mjjg,0,GBK]
䞏	[贝田心Ⓨ,mlny,0,GBK]
䞐	[贝三人日,mdwj,chǔn_shǔn,GBK]
䞑	[土亦工Ⓖ,foag,hóng,GBK]
䞒	[土亦冂口,fomk,dòng,GBK]
䞓	[土亦一工,foga,chēng,GBK]
䞔	[土亦尸乚,fonn,wěi,GBK]
䞕	[土亦⻗Ⓙ,fofj,dié_nǎ_niè_rú_xiè_yú,GBK]
䞖	[土龰戈Ⓨ,fhay,shǔ,GBK]
䞗	[土龰十丿,fhft,cāi_chāi,GBK]
䞘	[土龰𠂉乙,fhtn,jí,GBK]
䞙	[土龰一丨,fhgh,zá,GBK]
䞚	[土龰十又,fhfc,qí_kuí,GBK]
䞛	[土龰一𠃌,fhgn,yān,GBK]
䞜	[土龰一个,fhgi,fù,GBK]
䞝	[土龰王丶,fhgy,ǎo_yù,GBK]
䞞	[土龰弓Ⓙ,fhxj,fú,GBK]
䞟	[土龰白Ⓓ,fhrd,pò,GBK]
䞠	[土龰石Ⓓ,fhdd,zhī,GBK]
䞡	[土龰日一,fhjg,tǎn,GBK]
䞢	[土龰𠂉二,fhtf,zhà_zuó,GBK]
䞣	[土龰斤丶,fhry,chě_chè_qiè,GBK]
䞤	[土龰勹口,fhqk,qú_fǔ_qǔ,GBK]
䞥	[土龰𠂇冃,fhde,yòu,GBK]
䞦	[土龰夂口,fhtk,hé_jié,GBK]
䞧	[土龰斤口,fhrk,hòu,GBK]
䞨	[土龰土土,fhff,guǐ_kuǐ,GBK]
䞩	[土龰人口,fhwk,è_ruí_xiá,GBK]
䞪	[土龰匚斤,fhar,jiàng,GBK]
䞫	[土龰彐口,fhvk,yǔn,GBK]
䞬	[土龰禾乃,fhte,tòu,GBK]
䞭	[土龰厶夂,fhct,qiǔ_qūn_cūn,GBK]
䞮	[土龰人禾,fhwt,tū,GBK]
䞯	[土龰爫子,fheb,fù_fú,GBK]
䞰	[土龰土亦,fhfo,zuó,GBK]
䞱	[土龰八口,fhwk,hú,GBK]
䞲	[土龰㇒丿,fhtt,0,GBK]
䞳	[土龰立口,fhuk,bó_fèi,GBK]
䞴	[土龰冂口,fhmk,zhāo,GBK]
䞵	[土龰又又,fhcc,juě_zhuò,GBK]
䞶	[土龰曰Ⓡ,fhjr,dì_tì_tāng_tàng,GBK]
䞷	[土龰尸山,fhnm,jué,GBK]
䞸	[土龰二口,fhfk,fù,GBK]
䞹	[土龰白王,fhrg,huáng,GBK]
䞺	[土龰斤目,fhrh,chūn,GBK]
䞻	[土龰マ力,fhcl,yǒng,GBK]
䞼	[土龰彑豕,fhxe,chuǐ_cuàn_jiàn_mèi,GBK]
䞽	[土龰十小,fhfi,suǒ,GBK]
䞾	[土龰斤几,fhrm,chí_dì,GBK]
䞿	[宀二〢龰,pfjh,qiān,GBK]
䟀	[土龰丷工,fhua,cāi,GBK]
䟁	[土龰巛木,fhvs,chāo_xiáo,GBK]
䟂	[土龰曰又,fhjc,mán,GBK]
䟃	[土龰厶彡,fhce,cà_zàn_cān,GBK]
䟄	[土龰龶貝,fhgm,qì_zuó_zè,GBK]
䟅	[車斤土龰,lrfh,jiàn_zàn,GBK]
䟆	[土龰田十,fhlf,bì_bó,GBK]
䟇	[土龰幺丿,fhxt,jī_xī,GBK]
䟈	[土龰十王,fhfg,zhí,GBK]
䟉	[土龰罒虫,fhlj,zhú_shǔ,GBK]
䟊	[土龰虍豕,fhhe,qú,GBK]
䟋	[土龰⺈言,fhqy,zhǎn_zhàn,GBK]
䟌	[土龰十圭,fhfy,jí_jié,GBK]
䟍	[土龰㇒方,fhty,dián_biān,GBK]
䟎	[土龰二貝,fhfm,0,GBK]
䟏	[土龰幺木,fhxs,lì,GBK]
䟐	[土龰厂止,fhdh,lì,GBK]
䟑	[土龰人卄,fhwa,lǎ_yuè,GBK]
䟒	[土龰艹圭,fhay,quán,GBK]
䟓	[口止丁Ⓗ,khsh,chēng_dīng_zhēng,GBK]
䟔	[口止卜Ⓨ,khhy,fù_bó,GBK]
䟕	[口止又丶,khcy,chà,GBK]
䟖	[口止山Ⓗ,khmh,tàng,GBK]
䟗	[口止氏弋,khqa,shì,GBK]
䟘	[口止亠几,khym,hàng,GBK]
䟙	[口止七刀,khav,qiè,GBK]
䟚	[口止二Ⓙ,khfj,qí,GBK]
䟛	[口止一丨,khgh,bó_bèi_fèi,GBK]
䟜	[口止冂人,khmw,nà,GBK]
䟝	[口止几又,khmc,tòu,GBK]
䟞	[口止小丿,khit,chú,GBK]
䟟	[斤丶口龰,rykh,cù,GBK]
䟠	[口止匸丿,khat,yuè,GBK]
䟡	[口止氏丶,khqy,dì_zhī,GBK]
䟢	[口止冖小,khqi,chén_jiàn_niǎn,GBK]
䟣	[口止木丶,khsy,chù,GBK]
䟤	[口止心丿,khnt,bì_bié,GBK]
䟥	[口止マ丿,khct,máng_méng,GBK]
䟦	[口止㇒又,khtc,bá_bó_yuán,GBK]
䟧	[口止田Ⓖ,khlg,tián,GBK]
䟨	[口止尸弋,khna,mín_mǐn,GBK]
䟩	[口止土厶,khfc,liě_què,GBK]
䟪	[口止㇒之,khtp,fěng_fǎn,GBK]
䟫	[⺌冖口龰,ipkh,chēng_shàng,GBK]
䟬	[口止斤一,khrg,qiù,GBK]
䟭	[口止𠂉二,khtf,tiáo_zuò,GBK]
䟮	[口止亻犬,khwd,fú_bó,GBK]
䟯	[口止㇒古,khtd,kuò,GBK]
䟰	[口止彳㇚,khth,jiǎn,GBK]
䟱	[口止一小,khgi,0,GBK]
䟲	[口止亠儿,khyq,còng,GBK]
䟳	[口龰羽Ⓓ,khnd,0,GBK]
䟴	[口止厂𧘇,khde,zhèn,GBK]
䟵	[口止十丶,khfy,qiú,GBK]
䟶	[口止人土,khwf,cuò_zuò,GBK]
䟷	[口止扌斤,khrr,chì_qì,GBK]
䟸	[口止夕廾,khqa,kuí_guī,GBK]
䟹	[口止爫寸,khef,liè_lìn,GBK]
䟺	[口止貝Ⓨ,khmy,bǎng_bèi_pèi,GBK]
䟻	[口止人禾,khwt,dù_zhà,GBK]
䟼	[口止一止,khgh,wǔ,GBK]
䟽	[口止亠巟,khyq,shū,GBK]
䟾	[口止又又,khcc,juě_zhuó,GBK]
䟿	[口止彐氺,khvi,lù,GBK]
䠀	[口止⺌口,khik,chǎng_tāng_tàng,GBK]
䠁	[口止厶二,khcf,0,GBK]
䠂	[木木口龰,sskh,chú_chǔ,GBK]
䠃	[口止一㇏,khgy,liǎng,GBK]
䠄	[口止冂八,khmw,tiǎn,GBK]
䠅	[口止囗禾,khlt,kǔn_tà,GBK]
䠆	[口止镸𧘇,khde,cháng,GBK]
䠇	[口止尸山,khnm,jué,GBK]
䠈	[口止彐氺,khvi,tú,GBK]
䠉	[口止宀コ,khpn,huà_huàn_huǐ,GBK]
䠊	[口止三三,khdd,fèi,GBK]
䠋	[口止白十,khrf,bǐ_bì_mà_bāi,GBK]
䠌	[口止水冃,khie,0,GBK]
䠍	[口止コ又,khnc,qiá_xiā_qié,GBK]
䠎	[口止尸土,khnf,wò,GBK]
䠏	[口止癶大,khwd,jì_kuí,GBK]
䠐	[口止目犬,khhd,qù,GBK]
䠑	[口止大土,khdf,kuǐ_kuí_wěi,GBK]
䠒	[口止古月,khde,hú,GBK]
䠓	[口止丷一,khug,cù_jiù_qù_qiū,GBK]
䠔	[口止丷豕,khue,suì,GBK]
䠕	[口止止木,khhs,cāi,GBK]
䠖	[口止冫口,khuk,0,GBK]
䠗	[口止㇒犬,khtd,qiù_xiòng,GBK]
䠘	[口止㇒匕,khtx,pì,GBK]
䠙	[口止六方,khuy,bèi_páng_páo,GBK]
䠚	[口止宀㇏,khpy,wà_wǎ,GBK]
䠛	[口止爫山,khem,jiǎo_xiào_yáo,GBK]
䠜	[口止艹耳,khab,róng_rǒng,GBK]
䠝	[口止口貝,khkm,xūn,GBK]
䠞	[口止厂丿,khdt,cù_qí,GBK]
䠟	[土丷十龰,fufh,dié_shè,GBK]
䠠	[廿儿冖龰,aqph,chì_dài,GBK]
䠡	[口止虍一,khhg,cuó_chá,GBK]
䠢	[艹罒冖龰,alph,mèng,GBK]
䠣	[口止巳八,khnw,xuǎn_xuàn,GBK]
䠤	[口止口十,khkf,duǒ_duò,GBK]
䠥	[口止丷攵,khut,bié,GBK]
䠦	[口止𠂉日,khtj,zhè_zhì,GBK]
䠧	[口止尸日,khnj,chú,GBK]
䠨	[口止⺈言,khqy,chàn_mà,GBK]
䠩	[口止止丿,khht,guì,GBK]
䠪	[口止幺㇗,khxn,duàn,GBK]
䠫	[口止耳水,khbi,zòu,GBK]
䠬	[口止癶阝,khwb,dèng,GBK]
䠭	[口止一貝,khgm,lái_lài,GBK]
䠮	[口止丷馬,khuc,téng,GBK]
䠯	[口止人卄,khwa,yuè,GBK]
䠰	[口止艹圭,khay,quán,GBK]
䠱	[口止尸虫,khnj,shǔ_zhú,GBK]
䠲	[㇒冂三マ,tmdc,líng,GBK]
䠳	[㇒冂三山,tmdm,chēn,GBK]
䠴	[㇒冂三立,tmdu,qǐn_yǐn_zhěn,GBK]
䠵	[㇒冂三寸,tmdf,fù,GBK]
䠶	[㇒冂三大,tmdd,shè,GBK]
䠷	[㇒冂三儿,tmdq,tiǎo,GBK]
䠸	[㇒冂三㇉,tmdn,kuā,GBK]
䠹	[㇒冂三人,tmdw,hái,GBK]
䠺	[㇒冂三口,tmdk,0,GBK]
䠻	[㇒冂三弓,tmdx,qióng,GBK]
䠼	[㇒冂三刂,tmdj,diào_shù_xuè_zhú,GBK]
䠽	[㇒冂三丷,tmdu,hái_kǎi,GBK]
䠾	[㇒冂三人,tmdw,shǎn_shàn,GBK]
䠿	[㇒冂三貝,tmdm,wài_kuì,GBK]
䡀	[㇒冂三一,tmdg,zhǎn_zhàn,GBK]
䡁	[㇒冂三三,tmdd,lǒng,GBK]
䡂	[車㇙丨Ⓗ,lnhh,jiù_jiū,GBK]
䡃	[車力Ⓝ,lln,lì,GBK]
䡄	[車几Ⓝ,lmn,0,GBK]
䡅	[車川Ⓗ,lkh,mǐn_xiǎn_xún_zhèn_zuǎn_chūn,GBK]
䡆	[車八厶Ⓨ,lwcy,róng_rǒng,GBK]
䡇	[車二儿Ⓝ,lfqn,yuè,GBK]
䡈	[車ㄨ乂Ⓨ,lqqy,jué_jiào,GBK]
䡉	[車亠几Ⓝ,lymn,kǎng,GBK]
䡊	[車斤又Ⓨ,lrcy,fán_fǎn_pèi,GBK]
䡋	[車十又Ⓨ,lfcy,qí,GBK]
䡌	[車𠂇厶Ⓨ,ldcy,hóng,GBK]
䡍	[車二人Ⓨ,lfwy,fú_fǔ,GBK]
䡎	[車丶尸Ⓣ,lynt,lú,GBK]
䡏	[車弓厶Ⓨ,lxcy,hóng,GBK]
䡐	[車宀匕Ⓝ,lpxn,tuó,GBK]
䡑	[車尸弋Ⓝ,lnan,mín,GBK]
䡒	[車田Ⓖ,llg,tián,GBK]
䡓	[彳車二㇚,tlfh,juàn_xuān,GBK]
䡔	[車夕夕Ⓨ,lqqy,qǐ,GBK]
䡕	[車了氺一,lbig,zhěng,GBK]
䡖	[車一八土,lgwf,jìng_qìng,GBK]
䡗	[工几丶車,amyl,gǒng_gòng,GBK]
䡘	[車勹田Ⓖ,lqlg,tián,GBK]
䡙	[車丶彐𧘇,lyve,láng,GBK]
䡚	[車白儿Ⓝ,lrqn,mào,GBK]
䡛	[車車Ⓗ,llh,yìn,GBK]
䡜	[車土八土,lfwf,lù,GBK]
䡝	[車宀夕㔾,lpqb,yǔn_yuān,GBK]
䡞	[具八車Ⓙ,hwlj,jú,GBK]
䡟	[車白丿十,lrtf,pì,GBK]
䡠	[車⺊貝Ⓨ,lhmy,0,GBK]
䡡	[車匕匕白,lxxr,xié,GBK]
䡢	[車丶尸卄,lyna,biàn,GBK]
䡣	[車冖車Ⓗ,lplh,hún_hūn_xuān,GBK]
䡤	[土丿曰車,ftjl,zhū,GBK]
䡥	[車宀八口,lpwk,róng,GBK]
䡦	[車又又木,lccs,sǎng,GBK]
䡧	[車亻コ灬,lwno,wǔ_wū,GBK]
䡨	[丷龵工車,udal,chà_chái_yín,GBK]
䡩	[車十具八,lfhw,gǔ_hòu_tǒu_zhěn_kēng,GBK]
䡪	[車丶尸羽,lynn,chán_shàn,GBK]
䡫	[車夂三辶,ltdp,péng,GBK]
䡬	[車曰罒又,ljlc,màn,GBK]
䡭	[車丷龵土,ludf,xiū,GBK]
䡮	[車彳人龰,ltwh,0,GBK]
䡯	[車㇒囗心,ltln,shuàng_zǒng_cōng,GBK]
䡰	[土尸几車,fnml,kěng_kēng_gǔ,GBK]
䡱	[車匚口口,lakk,zhuǎn,GBK]
䡲	[車口口十,lkkf,chán_dān,GBK]
䡳	[車卄三斤,ladr,sī,GBK]
䡴	[車立曰土,lujf,chuáng_chōng,GBK]
䡵	[車丷豕辶,luep,suì,GBK]
䡶	[車尸口辛,lnku,bèi_pì,GBK]
䡷	[車艹土皿,lafl,kài_kě,GBK]
䡸	[車艹罒丿,lalt,0,GBK]
䡹	[車十冖龰,lfph,zhì,GBK]
䡺	[車三丨心,ldhn,wèi,GBK]
䡻	[車㇒目方,lthy,mín,GBK]
䡼	[車⻗口口,lfkk,líng,GBK]
䡽	[車㇒土貝,ltfm,zuān,GBK]
䡾	[車虍七犬,lhad,nèi_niè_yè_yǐ,GBK]
䡿	[車⻗口人,lfkw,líng,GBK]
䢀	[车𠂉乙Ⓝ,ltnn,qì,GBK]
䢁	[车月Ⓖ,leg,yuè,GBK]
䢂	[车立Ⓖ,lug,0,GBK]
䢃	[尸口辛乂,nkuq,yì,GBK]
䢄	[厶口辛木,ckus,xǐ_xǐ,GBK]
䢅	[臼厂二𧘇,vdfe,chén,GBK]
䢆	[冖几厂寸,pmdf,0,GBK]
䢇	[宀几厂寸,pmdf,rǒng_rǒu,GBK]
䢈	[厂二𧘇曰,dfej,chén_qín_huì,GBK]
䢉	[㇒囗𧘇,vtle,nóng,GBK]
䢊	[子辶Ⓓ,bpd,yóu,GBK]
䢋	[一〢辶Ⓚ,gjpk,jì,GBK]
䢌	[一冂丨辶,gmhp,bó,GBK]
䢍	[方辶Ⓥ,ypv,fǎng_fèn,GBK]
䢎	[一廾辶Ⓚ,gapk,0,GBK]
䢏	[⺀十辶Ⓚ,ufpk,0,GBK]
䢐	[冃一辶Ⓓ,egpd,cú,GBK]
䢑	[氏弋丶辶,qayp,dǐ_dì,GBK]
䢒	[六ㄨ辶Ⓘ,uqpi,jiāo,GBK]
䢓	[宀一十辶,pgfp,yú,GBK]
䢔	[人一口辶,wgkp,gé_hé_jiá,GBK]
䢕	[厂一㇂辶,dgnp,xù,GBK]
䢖	[彐二丨辶,vfhp,yù_lǜ,GBK]
䢗	[冂龷辶Ⓓ,mapd,hé_qǔ_qū,GBK]
䢘	[宀寸辶Ⓘ,pfpi,0,GBK]
䢙	[貝辶Ⓘ,mpi,bài,GBK]
䢚	[一曰乂辶,gjqp,gòng_háng_gēng,GBK]
䢛	[冂八口辶,mwkp,jiǒng,GBK]
䢜	[彐冖冂辶,vpmp,0,GBK]
䢝	[一一辶,gfgp,yà,GBK]
䢞	[木木辶Ⓘ,sspi,nù_shù,GBK]
䢟	[方攵辶Ⓘ,ytpi,yóu,GBK]
䢠	[火廾辶Ⓚ,oapk,sòng,GBK]
䢡	[廿㇗木辶,ansp,xiè_yè_zhuì,GBK]
䢢	[人丶彐辶,wyvp,càng,GBK]
䢣	[夕言辶Ⓓ,qypd,yáo,GBK]
䢤	[禾木丶辶,tsyp,shù,GBK]
䢥	[一止目辶,ghhp,yán_yàn,GBK]
䢦	[亠幺氺辶,yxip,shuài,GBK]
䢧	[羽人彡辶,nwep,liào_lǐn_què,GBK]
䢨	[彳人人辶,twwp,cōng_zōng,GBK]
䢩	[五口攵辶,gktp,yù,GBK]
䢪	[㇒大口辶,tdkp,bó_cuì_jiǎo_nǔ_qián,GBK]
䢫	[阝𠂇工辶,bdap,suí,GBK]
䢬	[爫冖夕辶,epqp,0,GBK]
䢭	[丷王冫辶,ugup,yàn_xiàn,GBK]
䢮	[⻗田辶Ⓓ,flpd,lèi,GBK]
䢯	[火火夕辶,ooqp,lín,GBK]
䢰	[羽亻圭辶,nwyp,tái_tì_tī,GBK]
䢱	[士罒貝辶,flmp,dú_zhà,GBK]
䢲	[目目亻辶,hhwp,yuè,GBK]
䢳	[几阝Ⓗ,mbh,jǐ_jì,GBK]
䢴	[㇒𠂇阝Ⓗ,tdbh,0,GBK]
䢵	[二厶阝Ⓗ,fcbh,yún,GBK]
䢶	[木阝Ⓗ,sbh,0,GBK]
䢷	[冂亠阝Ⓗ,mybh,0,GBK]
䢸	[冃㇒阝Ⓗ,egbh,jū,GBK]
䢹	[匚コ阝Ⓗ,anbh,jǔ_qú,GBK]
䢺	[凵山阝Ⓗ,bmbh,chū,GBK]
䢻	[匚丨コ阝,ahnb,chén_jìn_tán,GBK]
䢼	[龷八阝Ⓗ,awbh,gōng,GBK]
䢽	[龷八口巴,awkc,xiàng,GBK]
䢾	[㇒土儿阝,tfqb,xiǎn,GBK]
䢿	[宀女阝Ⓗ,pvbh,0,GBK]
䣀	[⺈厂㔾阝,qdbb,guǐ_wéi_qī,GBK]
䣁	[羽阝Ⓗ,nbh,yǔ,GBK]
䣂	[三小阝Ⓗ,dibh,lěi_lèi,GBK]
䣃	[𠂉止阝Ⓗ,rhbh,0,GBK]
䣄	[人禾阝Ⓗ,wtbh,tú,GBK]
䣅	[厂二𧘇阝,dfeb,chén,GBK]
䣆	[一巛工阝,gvab,xíng,GBK]
䣇	[十氺丶阝,fiyb,qiú,GBK]
䣈	[口巴口巴,kckc,hàng_liáo_xiàng,GBK]
䣉	[氵小丿巴,iitc,0,GBK]
䣊	[⺌冂口阝,imkb,dǎng,GBK]
䣋	[㇒米阝Ⓗ,tobh,cǎi,GBK]
䣌	[广氏弋阝,yqab,dǐ,GBK]
䣍	[大曰㇙阝,djnb,yǎn_yān,GBK]
䣎	[巛田阝Ⓗ,vlbh,zī,GBK]
䣏	[亻龷八阝,wawb,0,GBK]
䣐	[艹冂大阝,amdb,yīng,GBK]
䣑	[厂曰土阝,djfb,chán,GBK]
䣒	[口丨一阝,khgb,0,GBK]
䣓	[一口冂阝,gkmb,lí_lì,GBK]
䣔	[⺌貝阝Ⓗ,imbh,suǒ_suò,GBK]
䣕	[馬阝Ⓗ,cbh,mǎ_mà,GBK]
䣖	[馬口巴Ⓝ,ckcn,mǎ,GBK]
䣗	[白大十阝,rdfb,0,GBK]
䣘	[⺌冖口阝,ipkb,táng,GBK]
䣙	[山月月阝,meeb,péi_bēi_pěng,GBK]
䣚	[婁女阝Ⓗ,lvbh,lóu_lú,GBK]
䣛	[木人氺阝,swib,qī_xī,GBK]
䣜	[虍七冃阝,haeb,cuó,GBK]
䣝	[尸土丿阝,nftb,tú,GBK]
䣞	[口口丷阝,kkub,è,GBK]
䣟	[ヰ儿ヰ阝,aqab,cán_cǎn_tì,GBK]
䣠	[二人二阝,fwfb,jié_tì_zá,GBK]
䣡	[丷王㇒阝,ugtb,tí_yí,GBK]
䣢	[三小龷阝,diab,jí,GBK]
䣣	[⺌冖口阝,ipkb,dǎng_dào,GBK]
䣤	[目目亻阝,hhwb,jiào_jué,GBK]
䣥	[西一匕Ⓝ,sgxn,bǐ_mì,GBK]
䣦	[西一力Ⓝ,sgln,lèi,GBK]
䣧	[西一戈Ⓨ,sgay,yì,GBK]
䣨	[西一㇒七,sgta,chún,GBK]
䣩	[西一一乚,sggn,chún,GBK]
䣪	[西一一丨,sggh,pò,GBK]
䣫	[西一十又,sgfc,lí,GBK]
䣬	[西一戈Ⓣ,sgat,zǎi_gē,GBK]
䣭	[西一犬Ⓨ,sgdy,tài,GBK]
䣮	[西一犬又,sgdc,pò,GBK]
䣯	[西一冃一,sgeg,tiǎn_cú,GBK]
䣰	[西一匚コ,sgan,jù_yuàn,GBK]
